Date,Fan Start/Stop Command (-),Lab 409 Room Temp (°F),Cooling Coil Valve (%),Discharge Air Temp (°F),Lab 409 Room Temp Deviation From Setpoint (°F),Hour of the Day,Heat Cool Mode (-),Heating Coil Valve (%),Season,Occupancy Status (-),Day of the Week,Chilled Water Valve (%),Outdoor Air Temp (°F),Label
2022-11-11 21:45:00,1.0,68.5,0.0,69.0,3.5,21,1.0,100.0,Fall,1.0,4,0.0,71.14,F
2022-11-11 22:00:00,1.0,68.5,0.0,69.0,3.5,22,1.0,100.0,Fall,1.0,4,0.0,69.64,F
2022-11-11 22:15:00,1.0,68.5,0.0,69.0,3.5,22,1.0,100.0,Fall,1.0,4,0.0,69.52,F
2022-11-11 22:30:00,1.0,68.5,0.0,69.0,3.5,22,1.0,100.0,Fall,1.0,4,0.0,69.11,F
2022-11-11 22:45:00,1.0,68.5,0.0,69.0,3.5,22,1.0,100.0,Fall,1.0,4,0.0,68.95,F
2022-11-11 23:00:00,1.0,68.5,0.0,69.0,3.5,23,1.0,100.0,Fall,1.0,4,0.0,69.02,F
2022-11-11 23:15:00,1.0,68.5,0.0,69.0,3.5,23,1.0,100.0,Fall,1.0,4,0.0,68.89,F
2022-11-11 23:30:00,1.0,68.25,0.0,69.0,3.75,23,1.0,100.0,Fall,1.0,4,0.0,68.69,F
2022-11-11 23:45:00,1.0,68.25,0.0,69.0,3.75,23,1.0,100.0,Fall,1.0,4,0.0,68.62,F
2022-11-12 00:00:00,1.0,68.25,0.0,68.5,3.75,0,1.0,100.0,Fall,1.0,5,0.0,68.57,F
2022-11-12 00:15:00,1.0,68.25,0.0,68.5,3.75,0,1.0,100.0,Fall,1.0,5,0.0,68.45,F
2022-11-12 00:30:00,1.0,68.25,0.0,68.5,3.75,0,1.0,100.0,Fall,1.0,5,0.0,68.26,F
2022-11-12 00:45:00,1.0,68.0,0.0,68.5,4.0,0,1.0,100.0,Fall,1.0,5,0.0,68.03,F
2022-11-12 01:00:00,1.0,68.0,0.0,68.5,4.0,1,1.0,100.0,Fall,1.0,5,0.0,67.58,F
2022-11-12 01:15:00,1.0,68.0,0.0,68.5,4.0,1,1.0,100.0,Fall,1.0,5,0.0,67.8,F
2022-11-12 01:30:00,1.0,68.25,0.0,68.5,3.75,1,1.0,100.0,Fall,1.0,5,0.0,68.03,F
2022-11-12 01:45:00,1.0,68.0,0.0,68.5,4.0,1,1.0,100.0,Fall,1.0,5,0.0,67.99,F
2022-11-12 02:00:00,1.0,67.75,0.0,68.0,4.25,2,1.0,100.0,Fall,1.0,5,0.0,68.06,F
2022-11-12 02:15:00,1.0,67.75,0.0,68.0,4.25,2,1.0,100.0,Fall,1.0,5,0.0,67.99,F
2022-11-12 02:30:00,1.0,67.75,0.0,68.0,4.25,2,1.0,100.0,Fall,1.0,5,0.0,67.59,F
2022-11-12 02:45:00,1.0,67.75,0.0,68.0,4.25,2,1.0,100.0,Fall,1.0,5,0.0,67.36,F
2022-11-12 03:00:00,1.0,67.75,0.0,68.0,4.25,3,1.0,100.0,Fall,1.0,5,0.0,67.08,F
2022-11-12 03:15:00,1.0,67.5,0.0,68.0,4.5,3,1.0,100.0,Fall,1.0,5,0.0,67.0,F
2022-11-12 03:30:00,1.0,67.5,0.0,68.0,4.5,3,1.0,100.0,Fall,1.0,5,0.0,66.66,F
2022-11-12 03:45:00,1.0,67.5,0.0,68.0,4.5,3,1.0,100.0,Fall,1.0,5,0.0,66.34,F
2022-11-12 04:00:00,1.0,67.5,0.0,68.0,4.5,4,1.0,100.0,Fall,1.0,5,0.0,66.01,F
2022-11-12 04:15:00,1.0,67.5,0.0,67.5,4.5,4,1.0,100.0,Fall,1.0,5,0.0,65.66,F
2022-11-12 04:30:00,1.0,67.25,0.0,68.0,4.75,4,1.0,100.0,Fall,1.0,5,0.0,65.5,F
2022-11-12 04:45:00,1.0,67.5,0.0,67.5,4.5,4,1.0,100.0,Fall,1.0,5,0.0,65.28,F
2022-11-12 05:00:00,1.0,67.5,0.0,67.5,4.5,5,1.0,100.0,Fall,1.0,5,0.0,65.15,F
2022-11-12 05:15:00,1.0,67.25,0.0,67.5,4.75,5,1.0,100.0,Fall,1.0,5,0.0,65.15,F
2022-11-12 05:30:00,1.0,67.5,0.0,67.5,4.5,5,1.0,100.0,Fall,1.0,5,0.0,64.96,F
2022-11-12 05:45:00,1.0,66.75,0.0,67.5,5.25,5,1.0,100.0,Fall,1.0,5,0.0,64.75,F
2022-11-12 06:00:00,1.0,67.0,0.0,67.5,5.0,6,1.0,100.0,Fall,1.0,5,0.0,64.62,F
2022-11-12 06:15:00,1.0,67.0,0.0,67.5,5.0,6,1.0,100.0,Fall,1.0,5,0.0,64.28,F
2022-11-12 06:30:00,1.0,67.0,0.0,67.0,5.0,6,1.0,100.0,Fall,1.0,5,0.0,63.97,F
2022-11-12 06:45:00,1.0,67.0,0.0,67.0,5.0,6,1.0,100.0,Fall,1.0,5,0.0,63.74,F
2022-11-12 07:00:00,1.0,66.75,0.0,67.0,5.25,7,1.0,100.0,Fall,1.0,5,0.0,63.68,F
2022-11-12 07:15:00,1.0,66.75,0.0,67.0,5.25,7,1.0,100.0,Fall,1.0,5,0.0,63.45,F
2022-11-12 07:30:00,1.0,66.75,0.0,67.0,5.25,7,1.0,100.0,Fall,1.0,5,0.0,63.58,F
2022-11-12 07:45:00,1.0,66.75,0.0,67.0,5.25,7,1.0,100.0,Fall,1.0,5,0.0,63.94,F
2022-11-12 08:00:00,1.0,66.75,0.0,67.0,5.25,8,1.0,100.0,Fall,1.0,5,0.0,64.42,F
2022-11-12 08:15:00,1.0,66.5,0.0,67.0,5.5,8,1.0,100.0,Fall,1.0,5,0.0,64.95,F
2022-11-12 08:30:00,1.0,66.5,0.0,67.0,5.5,8,1.0,100.0,Fall,1.0,5,0.0,65.76,F
2022-11-12 08:45:00,1.0,66.5,0.0,67.0,5.5,8,1.0,100.0,Fall,1.0,5,0.0,66.72,F
2022-11-12 09:00:00,1.0,66.75,0.0,67.0,5.25,9,1.0,100.0,Fall,1.0,5,0.0,67.21,F
2022-11-12 09:15:00,1.0,66.25,0.0,67.0,5.75,9,1.0,100.0,Fall,1.0,5,0.0,67.94,F
2022-11-12 09:30:00,1.0,66.5,0.0,67.0,5.5,9,1.0,100.0,Fall,1.0,5,0.0,68.89,F
2022-11-12 09:45:00,1.0,66.5,0.0,67.0,5.5,9,1.0,100.0,Fall,1.0,5,0.0,69.78,F
2022-11-12 10:00:00,1.0,66.5,0.0,67.0,5.5,10,1.0,100.0,Fall,1.0,5,0.0,70.21,F
2022-11-12 10:15:00,1.0,66.5,0.0,67.0,5.5,10,1.0,100.0,Fall,1.0,5,0.0,70.77,F
2022-11-12 10:30:00,1.0,66.5,0.0,67.0,5.5,10,1.0,100.0,Fall,1.0,5,0.0,71.72,F
2022-11-12 10:45:00,1.0,66.5,0.0,67.0,5.5,10,1.0,100.0,Fall,1.0,5,0.0,72.62,F
2022-11-12 11:00:00,1.0,66.5,0.0,67.0,5.5,11,1.0,100.0,Fall,1.0,5,0.0,72.91,F
2022-11-12 11:15:00,1.0,66.5,0.0,67.5,5.5,11,1.0,100.0,Fall,1.0,5,0.0,73.89,F
2022-11-12 11:30:00,1.0,66.5,0.0,67.5,5.5,11,1.0,100.0,Fall,1.0,5,0.0,74.62,F
2022-11-12 11:45:00,1.0,66.5,0.0,67.5,5.5,11,1.0,100.0,Fall,1.0,5,0.0,75.14,F
2022-11-12 12:00:00,1.0,66.75,0.0,67.5,5.25,12,1.0,100.0,Fall,1.0,5,0.0,75.44,F
2022-11-12 12:15:00,1.0,66.75,0.0,67.5,5.25,12,1.0,100.0,Fall,1.0,5,0.0,75.69,F
