Date,Heating Coil Valve (%),Fan Start/Stop Command (-),Outdoor Air Temp (°F),Cooling Coil Valve (%),Occupancy Status (-),Season,Chilled Water Valve (%),Day of the Week,Lab 409 Room Temp (°F),Hour of the Day,Lab 409 Room Temp Deviation From Setpoint (°F),Discharge Air Temp (°F),Heat Cool Mode (-)
2022-02-01 00:15:00,39.2,1.0,29.87,0.0,1.0,Winter,0.0,1,69.75,0,2.25,70.0,1.0
2022-02-01 00:30:00,39.2,1.0,29.75,0.0,1.0,Winter,0.0,1,69.75,0,2.25,70.0,1.0
2022-02-01 00:45:00,39.2,1.0,29.54,0.0,1.0,Winter,0.0,1,69.75,0,2.25,70.0,1.0
2022-02-01 01:00:00,41.6,1.0,29.5,0.0,1.0,Winter,0.0,1,69.75,1,2.25,70.0,1.0
2022-02-01 01:15:00,41.6,1.0,29.48,0.0,1.0,Winter,0.0,1,69.75,1,2.25,70.5,1.0
2022-02-01 01:30:00,41.6,1.0,29.54,0.0,1.0,Winter,0.0,1,70.0,1,2.0,70.5,1.0
2022-02-01 01:45:00,41.6,1.0,29.41,0.0,1.0,Winter,0.0,1,69.5,1,2.5,70.5,1.0
2022-02-01 02:00:00,44.8,1.0,29.21,0.0,1.0,Winter,0.0,1,69.75,2,2.25,70.5,1.0
2022-02-01 02:15:00,44.8,1.0,29.04,0.0,1.0,Winter,0.0,1,69.75,2,2.25,70.5,1.0
2022-02-01 02:30:00,44.8,1.0,28.73,0.0,1.0,Winter,0.0,1,70.0,2,2.0,70.5,1.0
2022-02-01 02:45:00,44.8,1.0,28.53,0.0,1.0,Winter,0.0,1,69.25,2,2.75,70.5,1.0
2022-02-01 03:00:00,48.0,1.0,28.41,0.0,1.0,Winter,0.0,1,69.75,3,2.25,70.5,1.0
2022-02-01 03:15:00,48.0,1.0,28.22,0.0,1.0,Winter,0.0,1,69.75,3,2.25,70.5,1.0
2022-02-01 03:30:00,48.0,1.0,28.07,0.0,1.0,Winter,0.0,1,69.5,3,2.5,70.5,1.0
2022-02-01 03:45:00,48.0,1.0,27.9,0.0,1.0,Winter,0.0,1,69.5,3,2.5,70.5,1.0
2022-02-01 04:00:00,52.8,1.0,27.84,0.0,1.0,Winter,0.0,1,69.5,4,2.5,70.5,1.0
2022-02-01 04:15:00,52.8,1.0,27.8,0.0,1.0,Winter,0.0,1,69.5,4,2.5,70.5,1.0
2022-02-01 04:30:00,52.8,1.0,27.63,0.0,1.0,Winter,0.0,1,69.5,4,2.5,70.5,1.0
2022-02-01 04:45:00,52.8,1.0,27.61,0.0,1.0,Winter,0.0,1,69.5,4,2.5,70.5,1.0
2022-02-01 05:00:00,52.8,1.0,27.38,0.0,1.0,Winter,0.0,1,69.5,5,2.5,70.5,1.0
2022-02-01 05:15:00,54.4,1.0,27.25,0.0,1.0,Winter,0.0,1,69.25,5,2.75,70.5,1.0
2022-02-01 05:30:00,61.6,1.0,27.24,0.0,1.0,Winter,0.0,1,69.25,5,2.75,70.5,1.0
2022-02-01 05:45:00,73.6,1.0,27.32,0.0,1.0,Winter,0.0,1,69.5,5,2.5,70.0,1.0
2022-02-01 06:00:00,80.0,1.0,27.33,0.0,1.0,Winter,0.0,1,69.25,6,2.75,70.0,1.0
2022-02-01 06:15:00,94.4,1.0,27.15,0.0,1.0,Winter,0.0,1,69.25,6,2.75,70.0,1.0
2022-02-01 06:30:00,100.0,1.0,26.91,0.0,1.0,Winter,0.0,1,69.25,6,2.75,70.0,1.0
2022-02-01 06:45:00,100.0,1.0,26.67,0.0,1.0,Winter,0.0,1,69.25,6,2.75,70.0,1.0
2022-02-01 07:00:00,100.0,1.0,26.73,0.0,1.0,Winter,0.0,1,69.25,7,2.75,70.0,1.0
2022-02-01 07:15:00,100.0,1.0,26.62,0.0,1.0,Winter,0.0,1,69.25,7,2.75,70.0,1.0
2022-02-01 07:30:00,100.0,1.0,26.64,0.0,1.0,Winter,0.0,1,69.25,7,2.75,70.0,1.0
2022-02-01 07:45:00,100.0,1.0,26.67,0.0,1.0,Winter,0.0,1,69.25,7,2.75,70.0,1.0
2022-02-01 08:00:00,100.0,1.0,27.34,0.0,1.0,Winter,0.0,1,69.25,8,2.75,70.0,1.0
2022-02-01 08:15:00,100.0,1.0,28.31,0.0,1.0,Winter,0.0,1,69.25,8,2.75,70.0,1.0
2022-02-01 08:30:00,100.0,1.0,28.93,0.0,1.0,Winter,0.0,1,69.25,8,2.75,70.0,1.0
2022-02-01 08:45:00,100.0,1.0,29.27,0.0,1.0,Winter,0.0,1,69.25,8,2.75,70.0,1.0
2022-02-01 09:00:00,100.0,1.0,30.18,0.0,1.0,Winter,0.0,1,69.25,9,2.75,70.0,1.0
2022-02-01 09:15:00,100.0,1.0,31.05,0.0,1.0,Winter,0.0,1,69.25,9,2.75,70.5,1.0
2022-02-01 09:30:00,100.0,1.0,31.9,0.0,0.0,Winter,0.0,1,69.25,9,2.75,71.5,1.0
2022-02-01 09:45:00,100.0,1.0,32.86,0.0,0.0,Winter,0.0,1,69.5,9,2.5,72.0,1.0
2022-02-01 10:00:00,100.0,1.0,33.81,0.0,0.0,Winter,0.0,1,69.5,10,2.5,72.5,1.0
2022-02-01 10:15:00,100.0,1.0,34.81,0.0,1.0,Winter,0.0,1,69.75,10,2.25,71.5,1.0
2022-02-01 10:30:00,100.0,1.0,36.37,0.0,1.0,Winter,0.0,1,70.25,10,1.75,71.5,1.0
2022-02-01 10:45:00,100.0,1.0,37.16,0.0,1.0,Winter,0.0,1,70.0,10,2.0,71.5,1.0
2022-02-01 11:00:00,100.0,1.0,38.34,0.0,1.0,Winter,0.0,1,70.25,11,1.75,72.0,1.0
2022-02-01 11:15:00,100.0,1.0,39.19,0.0,1.0,Winter,0.0,1,70.25,11,1.75,72.5,1.0
2022-02-01 11:30:00,100.0,1.0,39.18,0.0,1.0,Winter,0.0,1,70.5,11,1.5,72.5,1.0
2022-02-01 11:45:00,100.0,1.0,39.73,0.0,1.0,Winter,0.0,1,70.75,11,1.25,73.0,1.0
2022-02-01 12:00:00,90.4,1.0,40.48,0.0,1.0,Winter,0.0,1,70.75,12,1.25,73.5,1.0
2022-02-01 12:15:00,76.0,1.0,42.0,0.0,1.0,Winter,0.0,1,71.0,12,1.0,73.5,1.0
2022-02-01 12:30:00,58.4,1.0,42.64,0.0,1.0,Winter,0.0,1,71.0,12,1.0,74.0,1.0
2022-02-01 12:45:00,18.4,1.0,43.23,0.0,1.0,Winter,0.0,1,71.25,12,0.75,73.0,1.0
2022-02-01 13:00:00,5.6,1.0,43.23,0.0,1.0,Winter,0.0,1,71.25,13,0.75,71.5,1.0
2022-02-01 13:15:00,0.0,1.0,43.48,0.0,1.0,Winter,0.0,1,71.25,13,0.75,71.0,1.0
2022-02-01 13:30:00,0.0,1.0,45.23,0.0,1.0,Winter,0.0,1,71.5,13,0.5,71.0,1.0
2022-02-01 13:45:00,0.0,1.0,45.69,0.0,1.0,Winter,0.0,1,71.0,13,1.0,71.0,1.0
2022-02-01 14:00:00,0.0,1.0,44.55,0.0,1.0,Winter,0.0,1,71.25,14,0.75,71.0,1.0
2022-02-01 14:15:00,0.0,1.0,45.5,0.0,1.0,Winter,0.0,1,71.25,14,0.75,71.0,1.0
2022-02-01 14:30:00,0.0,1.0,45.31,0.0,1.0,Winter,0.0,1,71.5,14,0.5,71.0,1.0
2022-02-01 14:45:00,0.0,1.0,44.68,0.0,1.0,Winter,0.0,1,71.5,14,0.5,71.0,1.0
2022-02-01 15:00:00,0.0,1.0,45.06,0.0,1.0,Winter,0.0,1,71.5,15,0.5,71.0,1.0
2022-02-01 15:15:00,0.0,1.0,45.64,0.0,1.0,Winter,0.0,1,71.5,15,0.5,71.0,1.0
2022-02-01 15:30:00,0.0,1.0,45.67,0.0,1.0,Winter,0.0,1,71.5,15,0.5,71.0,1.0
2022-02-01 15:45:00,0.0,1.0,46.13,0.0,1.0,Winter,0.0,1,71.5,15,0.5,71.0,1.0
2022-02-01 16:00:00,0.0,1.0,46.47,0.0,1.0,Winter,0.0,1,71.75,16,0.25,71.0,1.0
2022-02-01 16:15:00,0.0,1.0,45.98,0.0,1.0,Winter,0.0,1,71.75,16,0.25,71.0,1.0
2022-02-01 16:30:00,0.0,1.0,45.09,0.0,1.0,Winter,0.0,1,71.75,16,0.25,71.0,1.0
2022-02-01 16:45:00,0.0,1.0,45.3,0.0,1.0,Winter,0.0,1,71.75,16,0.25,71.0,1.0
2022-02-01 17:00:00,0.0,1.0,44.8,0.0,1.0,Winter,0.0,1,71.75,17,0.25,71.0,1.0
2022-02-01 17:15:00,0.0,1.0,44.62,0.0,1.0,Winter,0.0,1,71.75,17,0.25,71.0,1.0
2022-02-01 17:30:00,0.0,1.0,44.45,0.0,1.0,Winter,0.0,1,71.5,17,0.5,71.0,1.0
2022-02-01 17:45:00,0.0,1.0,44.09,0.0,1.0,Winter,0.0,1,71.75,17,0.25,71.0,1.0
2022-02-01 18:00:00,0.0,1.0,43.88,0.0,1.0,Winter,0.0,1,71.75,18,0.25,71.0,1.0
2022-02-01 18:15:00,0.0,1.0,43.34,0.0,1.0,Winter,0.0,1,71.75,18,0.25,71.0,1.0
2022-02-01 18:30:00,0.0,1.0,43.06,0.0,1.0,Winter,0.0,1,71.75,18,0.25,71.0,1.0
2022-02-01 18:45:00,0.0,1.0,42.76,0.0,1.0,Winter,0.0,1,72.0,18,0.0,71.0,1.0
2022-02-01 19:00:00,0.0,1.0,42.45,0.0,1.0,Winter,0.0,1,72.0,19,0.0,71.0,1.0
2022-02-01 19:15:00,0.0,1.0,42.3,0.0,1.0,Winter,0.0,1,71.75,19,0.25,71.0,1.0
2022-02-01 19:30:00,0.0,1.0,41.48,0.0,1.0,Winter,0.0,1,71.75,19,0.25,71.0,1.0
2022-02-01 19:45:00,0.0,1.0,41.19,0.0,1.0,Winter,0.0,1,71.75,19,0.25,71.0,1.0
2022-02-01 20:00:00,0.0,1.0,39.81,0.0,1.0,Winter,0.0,1,71.75,20,0.25,71.0,1.0
2022-02-01 20:15:00,0.0,1.0,39.3,0.0,1.0,Winter,0.0,1,71.75,20,0.25,71.0,1.0
2022-02-01 20:30:00,0.0,1.0,38.96,0.0,1.0,Winter,0.0,1,71.75,20,0.25,71.0,1.0
2022-02-01 20:45:00,0.0,1.0,38.7,0.0,1.0,Winter,0.0,1,72.0,20,0.0,71.0,1.0
2022-02-01 21:00:00,0.0,1.0,38.28,0.0,1.0,Winter,0.0,1,71.5,21,0.5,71.0,1.0
2022-02-01 21:15:00,0.0,1.0,38.05,0.0,1.0,Winter,0.0,1,71.75,21,0.25,71.0,1.0
2022-02-01 21:30:00,0.0,1.0,37.92,0.0,1.0,Winter,0.0,1,71.75,21,0.25,71.0,1.0
2022-02-01 21:45:00,0.0,1.0,37.69,0.0,1.0,Winter,0.0,1,72.0,21,0.0,71.0,1.0
2022-02-01 22:00:00,0.0,1.0,37.31,0.0,1.0,Winter,0.0,1,71.25,22,0.75,71.0,1.0
2022-02-01 22:15:00,0.0,1.0,37.24,0.0,1.0,Winter,0.0,1,71.75,22,0.25,71.0,1.0
2022-02-01 22:30:00,0.0,1.0,36.9,0.0,1.0,Winter,0.0,1,71.75,22,0.25,71.0,1.0
2022-02-01 22:45:00,0.0,1.0,36.82,0.0,1.0,Winter,0.0,1,71.75,22,0.25,71.0,1.0
2022-02-01 23:00:00,0.0,1.0,36.6,0.0,1.0,Winter,0.0,1,71.75,23,0.25,71.0,1.0
2022-02-01 23:15:00,0.0,1.0,36.39,0.0,1.0,Winter,0.0,1,71.75,23,0.25,71.0,1.0
2022-02-01 23:30:00,0.0,1.0,35.9,0.0,1.0,Winter,0.0,1,71.75,23,0.25,71.0,1.0
2022-02-01 23:45:00,0.0,1.0,35.08,0.0,1.0,Winter,0.0,1,71.5,23,0.5,71.0,1.0
2022-02-02 00:00:00,0.0,1.0,35.05,0.0,1.0,Winter,0.0,2,71.75,0,0.25,71.0,1.0
2022-02-02 00:15:00,0.0,1.0,34.57,0.0,1.0,Winter,0.0,2,71.5,0,0.5,71.0,1.0
2022-02-02 00:30:00,0.0,1.0,34.09,0.0,1.0,Winter,0.0,2,71.5,0,0.5,71.0,1.0
2022-02-02 00:45:00,0.0,1.0,33.55,0.0,1.0,Winter,0.0,2,71.5,0,0.5,71.0,1.0
2022-02-02 01:00:00,0.0,1.0,33.45,0.0,1.0,Winter,0.0,2,71.5,1,0.5,71.0,1.0
2022-02-02 01:15:00,0.0,1.0,33.42,0.0,1.0,Winter,0.0,2,71.5,1,0.5,71.0,1.0
2022-02-02 01:30:00,0.0,1.0,33.43,0.0,1.0,Winter,0.0,2,71.5,1,0.5,71.0,1.0
2022-02-02 01:45:00,0.0,1.0,33.36,0.0,1.0,Winter,0.0,2,71.5,1,0.5,71.0,1.0
2022-02-02 02:00:00,0.0,1.0,33.43,0.0,1.0,Winter,0.0,2,71.0,2,1.0,71.0,1.0
2022-02-02 02:15:00,0.0,1.0,34.29,0.0,1.0,Winter,0.0,2,71.5,2,0.5,71.0,1.0
2022-02-02 02:30:00,0.0,1.0,33.81,0.0,1.0,Winter,0.0,2,71.5,2,0.5,70.5,1.0
2022-02-02 02:45:00,0.0,1.0,33.8,0.0,1.0,Winter,0.0,2,71.5,2,0.5,70.5,1.0
2022-02-02 03:00:00,0.0,1.0,33.84,0.0,1.0,Winter,0.0,2,71.5,3,0.5,70.5,1.0
2022-02-02 03:15:00,0.0,1.0,33.11,0.0,1.0,Winter,0.0,2,71.5,3,0.5,70.5,1.0
2022-02-02 03:30:00,0.0,1.0,33.26,0.0,1.0,Winter,0.0,2,71.5,3,0.5,70.5,1.0
2022-02-02 03:45:00,0.0,1.0,32.61,0.0,1.0,Winter,0.0,2,71.5,3,0.5,70.5,1.0
2022-02-02 04:00:00,0.0,1.0,32.68,0.0,1.0,Winter,0.0,2,71.5,4,0.5,70.5,1.0
2022-02-02 04:15:00,0.0,1.0,32.34,0.0,1.0,Winter,0.0,2,71.5,4,0.5,71.0,1.0
2022-02-02 04:30:00,0.0,1.0,32.21,0.0,1.0,Winter,0.0,2,71.25,4,0.75,70.5,1.0
2022-02-02 04:45:00,0.0,1.0,31.86,0.0,1.0,Winter,0.0,2,71.5,4,0.5,70.5,1.0
2022-02-02 05:00:00,0.0,1.0,31.64,0.0,1.0,Winter,0.0,2,71.25,5,0.75,70.5,1.0
2022-02-02 05:15:00,0.0,1.0,31.32,0.0,1.0,Winter,0.0,2,71.0,5,1.0,70.5,1.0
2022-02-02 05:30:00,0.0,1.0,31.18,0.0,1.0,Winter,0.0,2,71.25,5,0.75,70.5,1.0
2022-02-02 05:45:00,0.0,1.0,30.69,0.0,1.0,Winter,0.0,2,71.5,5,0.5,70.5,1.0
2022-02-02 06:00:00,0.0,1.0,30.49,0.0,1.0,Winter,0.0,2,71.25,6,0.75,71.0,1.0
2022-02-02 06:15:00,0.0,1.0,30.37,0.0,1.0,Winter,0.0,2,71.5,6,0.5,70.5,1.0
2022-02-02 06:30:00,0.0,1.0,30.33,0.0,1.0,Winter,0.0,2,71.25,6,0.75,70.5,1.0
2022-02-02 06:45:00,0.0,1.0,30.49,0.0,1.0,Winter,0.0,2,71.25,6,0.75,70.5,1.0
2022-02-02 07:00:00,0.0,1.0,30.22,0.0,1.0,Winter,0.0,2,71.25,7,0.75,70.5,1.0
2022-02-02 07:15:00,0.0,1.0,30.38,0.0,1.0,Winter,0.0,2,71.25,7,0.75,70.5,1.0
2022-02-02 07:30:00,0.0,1.0,30.59,0.0,1.0,Winter,0.0,2,71.25,7,0.75,71.0,1.0
2022-02-02 07:45:00,0.0,1.0,30.86,0.0,1.0,Winter,0.0,2,71.25,7,0.75,70.5,1.0
2022-02-02 08:00:00,0.0,1.0,31.16,0.0,1.0,Winter,0.0,2,71.25,8,0.75,70.5,1.0
2022-02-02 08:15:00,0.0,1.0,31.82,0.0,1.0,Winter,0.0,2,71.25,8,0.75,70.5,1.0
2022-02-02 08:30:00,0.0,1.0,32.48,0.0,1.0,Winter,0.0,2,71.25,8,0.75,70.5,1.0
2022-02-02 08:45:00,0.0,1.0,33.24,0.0,1.0,Winter,0.0,2,71.25,8,0.75,70.5,1.0
2022-02-02 09:00:00,0.0,1.0,34.52,0.0,1.0,Winter,0.0,2,71.5,9,0.5,70.5,1.0
2022-02-02 09:15:00,0.0,1.0,36.09,0.0,1.0,Winter,0.0,2,71.25,9,0.75,71.0,1.0
2022-02-02 09:30:00,0.0,1.0,37.31,0.0,1.0,Winter,0.0,2,71.25,9,0.75,71.0,1.0
2022-02-02 09:45:00,0.0,1.0,37.63,0.0,1.0,Winter,0.0,2,71.5,9,0.5,71.0,1.0
2022-02-02 10:00:00,0.0,1.0,37.93,0.0,1.0,Winter,0.0,2,72.0,10,0.0,71.0,1.0
2022-02-02 10:15:00,0.0,1.0,38.57,0.0,1.0,Winter,0.0,2,71.5,10,0.5,71.0,1.0
2022-02-02 10:30:00,0.0,1.0,40.29,0.0,1.0,Winter,0.0,2,71.5,10,0.5,71.0,1.0
2022-02-02 10:45:00,0.0,1.0,41.2,0.0,1.0,Winter,0.0,2,71.75,10,0.25,71.0,1.0
